month,product,region,price,unit,basis,source_type
2024-01-01,Ethylene,Northeast Asia CFR,955,USD/tonne,Spot,Price assessment
2024-02-01,Ethylene,Northeast Asia CFR,954,USD/tonne,Spot,Price assessment
2024-03-01,Ethylene,Northeast Asia CFR,970,USD/tonne,Spot,Price assessment
2024-04-01,Ethylene,Northeast Asia CFR,992,USD/tonne,Spot,Price assessment
2024-05-01,Ethylene,Northeast Asia CFR,991,USD/tonne,Spot,Price assessment
2024-06-01,Ethylene,Northeast Asia CFR,1000,USD/tonne,Spot,Price assessment
2024-07-01,Ethylene,Northeast Asia CFR,980,USD/tonne,Spot,Price assessment
2024-08-01,Ethylene,Northeast Asia CFR,991,USD/tonne,Spot,Price assessment
2024-09-01,Ethylene,Northeast Asia CFR,999,USD/tonne,Spot,Price assessment
2024-10-01,Ethylene,Northeast Asia CFR,1023,USD/tonne,Spot,Price assessment
2024-11-01,Ethylene,Northeast Asia CFR,1040,USD/tonne,Spot,Price assessment
2024-12-01,Ethylene,Northeast Asia CFR,1030,USD/tonne,Spot,Price assessment
2025-01-01,Ethylene,Northeast Asia CFR,1026,USD/tonne,Spot,Price assessment
2025-02-01,Ethylene,Northeast Asia CFR,1035,USD/tonne,Spot,Price assessment
2025-03-01,Ethylene,Northeast Asia CFR,1012,USD/tonne,Spot,Price assessment
2025-04-01,Ethylene,Northeast Asia CFR,1012,USD/tonne,Spot,Price assessment
2025-05-01,Ethylene,Northeast Asia CFR,996,USD/tonne,Spot,Price assessment
2025-06-01,Ethylene,Northeast Asia CFR,979,USD/tonne,Spot,Price assessment
2025-07-01,Ethylene,Northeast Asia CFR,959,USD/tonne,Spot,Price assessment
2025-08-01,Ethylene,Northeast Asia CFR,973,USD/tonne,Spot,Price assessment
2025-09-01,Ethylene,Northeast Asia CFR,985,USD/tonne,Spot,Price assessment
2025-10-01,Ethylene,Northeast Asia CFR,946,USD/tonne,Spot,Price assessment
2025-11-01,Ethylene,Northeast Asia CFR,942,USD/tonne,Spot,Price assessment
2025-12-01,Ethylene,Northeast Asia CFR,959,USD/tonne,Spot,Price assessment
2026-01-01,Ethylene,Northeast Asia CFR,941,USD/tonne,Spot,Price assessment
2026-02-01,Ethylene,Northeast Asia CFR,940,USD/tonne,Spot,Price assessment
2026-03-01,Ethylene,Northeast Asia CFR,943,USD/tonne,Spot,Price assessment
2026-04-01,Ethylene,Northeast Asia CFR,1009,USD/tonne,Spot,Price assessment
2026-05-01,Ethylene,Northeast Asia CFR,1016,USD/tonne,Spot,Price assessment
2026-06-01,Ethylene,Northeast Asia CFR,995,USD/tonne,Spot,Price assessment
2026-07-01,Ethylene,Northeast Asia CFR,985,USD/tonne,Spot,Price assessment
2026-08-01,Ethylene,Northeast Asia CFR,982,USD/tonne,Spot,Price assessment
2024-01-01,Ethylene,Southeast Asia CFR,923,USD/tonne,Spot,Price assessment
2024-02-01,Ethylene,Southeast Asia CFR,904,USD/tonne,Spot,Price assessment
2024-03-01,Ethylene,Southeast Asia CFR,885,USD/tonne,Spot,Price assessment
2024-04-01,Ethylene,Southeast Asia CFR,873,USD/tonne,Spot,Price assessment
2024-05-01,Ethylene,Southeast Asia CFR,881,USD/tonne,Spot,Price assessment
2024-06-01,Ethylene,Southeast Asia CFR,879,USD/tonne,Spot,Price assessment
2024-07-01,Ethylene,Southeast Asia CFR,872,USD/tonne,Spot,Price assessment
2024-08-01,Ethylene,Southeast Asia CFR,876,USD/tonne,Spot,Price assessment
2024-09-01,Ethylene,Southeast Asia CFR,875,USD/tonne,Spot,Price assessment
2024-10-01,Ethylene,Southeast Asia CFR,867,USD/tonne,Spot,Price assessment
2024-11-01,Ethylene,Southeast Asia CFR,881,USD/tonne,Spot,Price assessment
2024-12-01,Ethylene,Southeast Asia CFR,891,USD/tonne,Spot,Price assessment
2025-01-01,Ethylene,Southeast Asia CFR,880,USD/tonne,Spot,Price assessment
2025-02-01,Ethylene,Southeast Asia CFR,884,USD/tonne,Spot,Price assessment
2025-03-01,Ethylene,Southeast Asia CFR,886,USD/tonne,Spot,Price assessment
2025-04-01,Ethylene,Southeast Asia CFR,904,USD/tonne,Spot,Price assessment
2025-05-01,Ethylene,Southeast Asia CFR,915,USD/tonne,Spot,Price assessment
2025-06-01,Ethylene,Southeast Asia CFR,906,USD/tonne,Spot,Price assessment
2025-07-01,Ethylene,Southeast Asia CFR,929,USD/tonne,Spot,Price assessment
2025-08-01,Ethylene,Southeast Asia CFR,912,USD/tonne,Spot,Price assessment
2025-09-01,Ethylene,Southeast Asia CFR,1009,USD/tonne,Spot,Price assessment
2025-10-01,Ethylene,Southeast Asia CFR,996,USD/tonne,Spot,Price assessment
2025-11-01,Ethylene,Southeast Asia CFR,907,USD/tonne,Spot,Price assessment
2025-12-01,Ethylene,Southeast Asia CFR,907,USD/tonne,Spot,Price assessment
2026-01-01,Ethylene,Southeast Asia CFR,887,USD/tonne,Spot,Price assessment
2026-02-01,Ethylene,Southeast Asia CFR,896,USD/tonne,Spot,Price assessment
2026-03-01,Ethylene,Southeast Asia CFR,972,USD/tonne,Spot,Price assessment
2026-04-01,Ethylene,Southeast Asia CFR,1059,USD/tonne,Spot,Price assessment
2026-05-01,Ethylene,Southeast Asia CFR,1042,USD/tonne,Spot,Price assessment
2026-06-01,Ethylene,Southeast Asia CFR,960,USD/tonne,Spot,Price assessment
2026-07-01,Ethylene,Southeast Asia CFR,933,USD/tonne,Spot,Price assessment
2026-08-01,Ethylene,Southeast Asia CFR,938,USD/tonne,Spot,Price assessment
2024-01-01,HDPE,Southeast Asia CFR,1015,USD/tonne,Spot,Price assessment
2024-02-01,HDPE,Southeast Asia CFR,999,USD/tonne,Spot,Price assessment
2024-03-01,HDPE,Southeast Asia CFR,982,USD/tonne,Spot,Price assessment
2024-04-01,HDPE,Southeast Asia CFR,970,USD/tonne,Spot,Price assessment
2024-05-01,HDPE,Southeast Asia CFR,957,USD/tonne,Spot,Price assessment
2024-06-01,HDPE,Southeast Asia CFR,953,USD/tonne,Spot,Price assessment
2024-07-01,HDPE,Southeast Asia CFR,937,USD/tonne,Spot,Price assessment
2024-08-01,HDPE,Southeast Asia CFR,951,USD/tonne,Spot,Price assessment
2024-09-01,HDPE,Southeast Asia CFR,955,USD/tonne,Spot,Price assessment
2024-10-01,HDPE,Southeast Asia CFR,944,USD/tonne,Spot,Price assessment
2024-11-01,HDPE,Southeast Asia CFR,936,USD/tonne,Spot,Price assessment
2024-12-01,HDPE,Southeast Asia CFR,932,USD/tonne,Spot,Price assessment
2025-01-01,HDPE,Southeast Asia CFR,928,USD/tonne,Spot,Price assessment
2025-02-01,HDPE,Southeast Asia CFR,916,USD/tonne,Spot,Price assessment
2025-03-01,HDPE,Southeast Asia CFR,928,USD/tonne,Spot,Price assessment
2025-04-01,HDPE,Southeast Asia CFR,945,USD/tonne,Spot,Price assessment
2025-05-01,HDPE,Southeast Asia CFR,945,USD/tonne,Spot,Price assessment
2025-06-01,HDPE,Southeast Asia CFR,945,USD/tonne,Spot,Price assessment
2025-07-01,HDPE,Southeast Asia CFR,931,USD/tonne,Spot,Price assessment
2025-08-01,HDPE,Southeast Asia CFR,919,USD/tonne,Spot,Price assessment
2025-09-01,HDPE,Southeast Asia CFR,914,USD/tonne,Spot,Price assessment
2025-10-01,HDPE,Southeast Asia CFR,907,USD/tonne,Spot,Price assessment
2025-11-01,HDPE,Southeast Asia CFR,955,USD/tonne,Spot,Price assessment
2025-12-01,HDPE,Southeast Asia CFR,935,USD/tonne,Spot,Price assessment
2026-03-01,HDPE,Southeast Asia CFR,909,USD/tonne,Spot,Price assessment
2026-04-01,HDPE,Southeast Asia CFR,943,USD/tonne,Spot,Price assessment
2026-05-01,HDPE,Southeast Asia CFR,901,USD/tonne,Spot,Price assessment
2026-06-01,HDPE,Southeast Asia CFR,886,USD/tonne,Spot,Price assessment
2026-07-01,HDPE,Southeast Asia CFR,887,USD/tonne,Spot,Price assessment
2026-08-01,HDPE,Southeast Asia CFR,903,USD/tonne,Spot,Price assessment
2024-01-01,Naphtha,Asia CFR,636,USD/tonne,Spot,Price assessment
2024-02-01,Naphtha,Asia CFR,627,USD/tonne,Spot,Price assessment
2024-03-01,Naphtha,Asia CFR,632,USD/tonne,Spot,Price assessment
